Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-166520,Signaling by NTRKs,9,166,0.010809403,0.158336832,0.518614855,19,164,0.011324403,9606,Homo sapiens,MEF2A;ARC;NAB1;FYN;FOS;TRIB1;FRS3,,R-HSA-9613202;R-HSA-9031624;R-HSA-9032426;R-HSA-9031616;R-HSA-9619838;R-HSA-9032582;R-HSA-9032601;R-HSA-9032761;R-HSA-9031610;R-HSA-9612516;R-HSA-9032798;R-HSA-9621386;R-HSA-9037040;R-HSA-199929;R-HSA-9032402;R-HSA-9621385;R-HSA-9032532;R-HSA-9031575;R-HSA-9032502
R-HSA-9013408,RHOG GTPase cycle,5,78,0.005079117,0.159628813,0.518614855,3,6,4.14E-04,9606,Homo sapiens,PREX1;ARHGAP39;PLD1;KALRN;VAMP3,,R-HSA-9014449;R-HSA-9014433;R-HSA-9014434
R-HSA-448424,Interleukin-17 signaling,5,78,0.005079117,0.159628813,0.518614855,12,35,0.002416793,9606,Homo sapiens,MEF2A;TNIP2;UBC;FOS,,R-HSA-450292;R-HSA-450325;R-HSA-5684261;R-HSA-451634;R-HSA-5684275;R-HSA-5684273;R-HSA-450337;R-HSA-199929;R-HSA-5684250;R-HSA-450346;R-HSA-5684267;R-HSA-5684248
R-HSA-1980145,Signaling by NOTCH2,3,38,0.002474442,0.163466186,0.518614855,11,20,0.001381025,9606,Homo sapiens,UBC;RBPJ,,R-HSA-2976716;R-HSA-2127285;R-HSA-2197588;R-HSA-2976551;R-HSA-2976742;R-HSA-2976726;R-HSA-2197562;R-HSA-2172172;R-HSA-2197564;R-HSA-2976563;R-HSA-157629
R-HSA-111465,Apoptotic cleavage of cellular proteins,3,38,0.002474442,0.163466186,0.518614855,3,38,0.002623947,9606,Homo sapiens,PTK2;PLEC;STK3,,R-HSA-201634;R-HSA-201637;R-HSA-351901
R-HSA-9013149,RAC1 GTPase cycle,10,191,0.012437325,0.165934752,0.518614855,3,6,4.14E-04,9606,Homo sapiens,PREX1;CDC42EP4;ARHGAP39;ARAP1;BAIAP2;PLD1;KALRN;DEF6;VAMP3,,R-HSA-9013145;R-HSA-9013144;R-HSA-9013143
R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins ,2,20,0.001302338,0.166450721,0.518614855,2,2,1.38E-04,9606,Homo sapiens,ITGA2B;PTK2,,R-HSA-354165;R-HSA-354087
R-HSA-5576886,Phase 4 - resting membrane potential,2,20,0.001302338,0.166450721,0.518614855,1,2,1.38E-04,9606,Homo sapiens,KCNK5;KCNK3,,R-HSA-5578910
R-HSA-2485179,Activation of the phototransduction cascade,2,20,0.001302338,0.166450721,0.518614855,2,8,5.52E-04,9606,Homo sapiens,PDE6G;PDE6B,,R-HSA-74065;R-HSA-74059
R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKBKE",2,20,0.001302338,0.166450721,0.518614855,2,9,6.21E-04,9606,Homo sapiens,UBC,,R-HSA-5362500;R-HSA-2213017
R-HSA-9758274,Regulation of NF-kappa B signaling,2,20,0.001302338,0.166450721,0.518614855,2,11,7.60E-04,9606,Homo sapiens,UBC,,R-HSA-9750946;R-HSA-9750942
R-HSA-9708530,Regulation of BACH1 activity,2,20,0.001302338,0.166450721,0.518614855,1,8,5.52E-04,9606,Homo sapiens,UBC,,R-HSA-9708517
R-HSA-9706369,Negative regulation of FLT3,2,20,0.001302338,0.166450721,0.518614855,1,12,8.29E-04,9606,Homo sapiens,UBC,,R-HSA-9706354
R-HSA-5368598,Negative regulation of TCF-dependent signaling by DVL-interacting proteins,1,5,3.26E-04,0.166967484,0.518614855,2,2,1.38E-04,9606,Homo sapiens,DVL1,,R-HSA-5368582;R-HSA-5368588
R-HSA-5579015,Defective CYP26B1 causes RHFCA,1,5,3.26E-04,0.166967484,0.518614855,1,1,6.91E-05,9606,Homo sapiens,CYP26B1,,R-HSA-5602063
R-HSA-5579005,Defective CYP4F22 causes ARCI5,1,5,3.26E-04,0.166967484,0.518614855,1,1,6.91E-05,9606,Homo sapiens,CYP4F22,,R-HSA-5602272
R-HSA-392023,Adrenaline signalling through Alpha-2 adrenergic receptor,1,5,3.26E-04,0.166967484,0.518614855,1,1,6.91E-05,9606,Homo sapiens,ADRA2C,,R-HSA-390663
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),6,101,0.006576805,0.16781008,0.518614855,1,1,6.91E-05,9606,Homo sapiens,NAB1;UBC;RPL8;RPS21,,R-HSA-927789
R-HSA-381070,IRE1alpha activates chaperones,6,101,0.006576805,0.16781008,0.518614855,3,53,0.003659716,9606,Homo sapiens,WFS1;DDX11;PDIA6,,R-HSA-1791131;R-HSA-1791116;R-HSA-1791169
R-HSA-156842,Eukaryotic Translation Elongation,6,102,0.006641922,0.173046882,0.518614855,4,9,6.21E-04,9606,Homo sapiens,NAB1;UBC;RPL8;RPS21,,R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",5,81,0.005274468,0.177434213,0.518614855,4,17,0.001173871,9606,Homo sapiens,PREX1;UBC;KALRN;FGD2,,R-HSA-204947;R-HSA-205008;R-HSA-205039;R-HSA-205118
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,5,81,0.005274468,0.177434213,0.518614855,3,24,0.00165723,9606,Homo sapiens,RAD52;CBX8;CBX4;NSMCE2;SCMH1,,R-HSA-4570463;R-HSA-4568863;R-HSA-3108212
R-HSA-9694635,Translation of Structural Proteins,5,81,0.005274468,0.177434213,0.518614855,4,46,0.003176357,9606,Homo sapiens,TUSC3;UBC;ST3GAL4;ST6GALNAC4,,R-HSA-9694529;R-HSA-9697018;R-HSA-9694793;R-HSA-9694718
R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,4,60,0.003907013,0.17873357,0.518614855,16,16,0.00110482,9606,Homo sapiens,UBC;HLA-B;PEX10,,R-HSA-8943080;R-HSA-8943083;R-HSA-8938829;R-HSA-8943040;R-HSA-8943041;R-HSA-8939335;R-HSA-8953946;R-HSA-8939323;R-HSA-8943003;R-HSA-8953917;R-HSA-8938815;R-HSA-8943007;R-HSA-8938770;R-HSA-8942099;R-HSA-8938773;R-HSA-8942101
R-HSA-3134975,Regulation of innate immune responses to cytosolic DNA,2,21,0.001367455,0.179391534,0.518614855,4,9,6.21E-04,9606,Homo sapiens,UBC,,R-HSA-3249386;R-HSA-3134804;R-HSA-8948709;R-HSA-3134946
R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,2,21,0.001367455,0.179391534,0.518614855,2,18,0.001242922,9606,Homo sapiens,VEGFA,,R-HSA-8864737;R-HSA-8864936
R-HSA-1226099,Signaling by FGFR in disease,5,82,0.005339585,0.183530189,0.518614855,43,99,0.006836072,9606,Homo sapiens,TIAF1;FGF18;FGFR3,,R-HSA-8853317;R-HSA-5655315;R-HSA-1839065;R-HSA-5655262;R-HSA-5654748;R-HSA-5655323;R-HSA-5655320;R-HSA-2033486;R-HSA-2033485;R-HSA-5655301;R-HSA-5655233;R-HSA-5655247;R-HSA-5655244;R-HSA-2033476;R-HSA-5655245;R-HSA-5655243;R-HSA-5655241;R-HSA-2033472;R-HSA-1839100;R-HSA-5655285;R-HSA-1839039;R-HSA-1839098;R-HSA-5655295;R-HSA-2012084;R-HSA-1839094;R-HSA-1839031;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386;R-HSA-5655289;R-HSA-2077424;R-HSA-1839091;R-HSA-5655270;R-HSA-5655268;R-HSA-2077420;R-HSA-2012074;R-HSA-1839080;R-HSA-2012073;R-HSA-5655343;R-HSA-8853309;R-HSA-1839078;R-HSA-5655277;R-HSA-5655339
R-HSA-177929,Signaling by EGFR,4,61,0.00397213,0.185948,0.518614855,12,49,0.003383511,9606,Homo sapiens,UBC;EPS15L1;PAG1,,R-HSA-8867047;R-HSA-183072;R-HSA-8867044;R-HSA-183089;R-HSA-182993;R-HSA-177926;R-HSA-8867041;R-HSA-182986;R-HSA-183051;R-HSA-182990;R-HSA-183084;R-HSA-183036
R-HSA-1632852,Macroautophagy,8,150,0.009767533,0.187082882,0.518614855,32,87,0.006007458,9606,Homo sapiens,RPTOR;WDR45B;HSF1;UBC;CHMP6;PRKAB1;PRICKLE4,,R-HSA-9646354;R-HSA-1632857;R-HSA-5682388;R-HSA-9646679;R-HSA-9641111;R-HSA-9641109;R-HSA-5672017;R-HSA-9613530;R-HSA-5675868;R-HSA-9646685;R-HSA-5679239;R-HSA-5205661;R-HSA-9641089;R-HSA-5676229;R-HSA-9646347;R-HSA-5675790;R-HSA-5665868;R-HSA-9641096;R-HSA-5672010;R-HSA-9674127;R-HSA-5672011;R-HSA-5672008;R-HSA-9646348;R-HSA-9646390;R-HSA-5672817;R-HSA-9664888;R-HSA-5679205;R-HSA-9640480;R-HSA-9641127;R-HSA-9646383;R-HSA-5205682;R-HSA-5673768
R-HSA-400253,Circadian Clock,6,105,0.006837273,0.189149996,0.518614855,15,59,0.004074023,9606,Homo sapiens,CARM1;UBC;CSNK1D;PPARGC1A,,R-HSA-549385;R-HSA-879724;R-HSA-1368087;R-HSA-400256;R-HSA-1856948;R-HSA-1801587;R-HSA-549475;R-HSA-5663258;R-HSA-400267;R-HSA-400342;R-HSA-1368065;R-HSA-1368140;R-HSA-400382;R-HSA-400282;R-HSA-5663273
R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,3,41,0.002669792,0.190420752,0.518614855,11,14,9.67E-04,9606,Homo sapiens,UBC;FYN,,R-HSA-9733316;R-HSA-9680385;R-HSA-389159;R-HSA-9680389;R-HSA-9733330;R-HSA-9680388;R-HSA-9733331;R-HSA-9817983;R-HSA-9733323;R-HSA-9680348;R-HSA-9818010
R-HSA-5654727,Negative regulation of FGFR2 signaling,3,41,0.002669792,0.190420752,0.518614855,5,14,9.67E-04,9606,Homo sapiens,FGF18;UBC,,R-HSA-934604;R-HSA-5654677;R-HSA-5654562;R-HSA-1295621;R-HSA-5654729
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,3,41,0.002669792,0.190420752,0.518614855,1,3,2.07E-04,9606,Homo sapiens,NAB1;RPS21,,R-HSA-9729232
R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,2,22,0.001432571,0.1924779,0.518614855,3,3,2.07E-04,9606,Homo sapiens,ITGA2B;PTK2,,R-HSA-372693;R-HSA-372705;R-HSA-372697
R-HSA-9768759,Regulation of NPAS4 gene expression,2,22,0.001432571,0.1924779,0.518614855,2,11,7.60E-04,9606,Homo sapiens,AGO2;DYSF,,R-HSA-9768788;R-HSA-9768782
R-HSA-72689,Formation of a pool of free 40S subunits,6,106,0.00690239,0.194642756,0.518614855,2,2,1.38E-04,9606,Homo sapiens,NAB1;UBC;RPL8;RPS21,,R-HSA-72673;R-HSA-72676
R-HSA-72764,Eukaryotic Translation Termination,6,106,0.00690239,0.194642756,0.518614855,3,5,3.45E-04,9606,Homo sapiens,NAB1;UBC;RPL8;RPS21,,R-HSA-141671;R-HSA-141691;R-HSA-141673
R-HSA-4420097,VEGFA-VEGFR2 Pathway,7,129,0.008400078,0.196348067,0.518614855,53,79,0.005455048,9606,Homo sapiens,SPHK1;FYN;ITPR3;BAIAP2;PRKCZ;PTK2;VEGFA,,R-HSA-2029465;R-HSA-5218645;R-HSA-5218643;R-HSA-5218642;R-HSA-5218640;R-HSA-5357429;R-HSA-5357432;R-HSA-4420202;R-HSA-4420206;R-HSA-4420083;R-HSA-5218815;R-HSA-5218814;R-HSA-5218813;R-HSA-5218812;R-HSA-5218811;R-HSA-5218809;R-HSA-5218806;R-HSA-5218805;R-HSA-5218804;R-HSA-4420099;R-HSA-5218830;R-HSA-5218828;R-HSA-5218826;R-HSA-5218824;R-HSA-4420107;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-5218819;R-HSA-5218818;R-HSA-5218847;R-HSA-169683;R-HSA-5218845;R-HSA-169680;R-HSA-4420117;R-HSA-5218839;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-9691215;R-HSA-5218832;R-HSA-4420128;R-HSA-9679477;R-HSA-5218855;R-HSA-5218854;R-HSA-5218852;R-HSA-5218851;R-HSA-4420143;R-HSA-4420140;R-HSA-5357479;R-HSA-4420153;R-HSA-3928647
R-HSA-9013957,TLR3-mediated TICAM1-dependent programmed cell death,1,6,3.91E-04,0.196860023,0.518614855,3,3,2.07E-04,9606,Homo sapiens,TSKU,,R-HSA-9013963;R-HSA-9013889;R-HSA-9013895
R-HSA-3656532,TGFBR1 KD Mutants in Cancer,1,6,3.91E-04,0.196860023,0.518614855,1,1,6.91E-05,9606,Homo sapiens,SMAD2,,R-HSA-3656523
R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,1,6,3.91E-04,0.196860023,0.518614855,1,3,2.07E-04,9606,Homo sapiens,CD9,,R-HSA-1297275
R-HSA-9706374,FLT3 signaling through SRC family kinases,1,6,3.91E-04,0.196860023,0.518614855,1,4,2.76E-04,9606,Homo sapiens,FYN,,R-HSA-9605259
R-HSA-9018519,Estrogen-dependent gene expression,8,153,0.009962883,0.200759637,0.518614855,18,66,0.004557382,9606,Homo sapiens,TLE3;HSP90AB1;CARM1;GREB1;AGO2;FOS,,R-HSA-9012203;R-HSA-9011949;R-HSA-9011950;R-HSA-9012000;R-HSA-9009378;R-HSA-9038052;R-HSA-9012196;R-HSA-9011961;R-HSA-9009371;R-HSA-9012186;R-HSA-9038161;R-HSA-9012208;R-HSA-9011952;R-HSA-9038163;R-HSA-9023859;R-HSA-9023860;R-HSA-9011958;R-HSA-9009526
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,5,85,0.005534935,0.202262815,0.518614855,14,60,0.004143074,9606,Homo sapiens,NCOR2;ARL4C;AGO2,,R-HSA-9029517;R-HSA-9618486;R-HSA-9024334;R-HSA-9618394;R-HSA-9618392;R-HSA-9657791;R-HSA-9605052;R-HSA-9024326;R-HSA-9624925;R-HSA-9618407;R-HSA-9618405;R-HSA-9029566;R-HSA-9038545;R-HSA-9618479
R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,2,23,0.001497688,0.205682787,0.518614855,2,11,7.60E-04,9606,Homo sapiens,UBC,,R-HSA-2172172;R-HSA-157629
R-HSA-196791,Vitamin D (calciferol) metabolism,2,23,0.001497688,0.205682787,0.518614855,2,20,0.001381025,9606,Homo sapiens,LDLR;LGMN,,R-HSA-350158;R-HSA-350168
R-HSA-6804760,Regulation of TP53 Activity through Methylation,2,23,0.001497688,0.205682787,0.518614855,1,12,8.29E-04,9606,Homo sapiens,UBC,,R-HSA-6804253
R-HSA-9007101,Rab regulation of trafficking,7,131,0.008530312,0.20644584,0.518614855,10,35,0.002416793,9606,Homo sapiens,GGA3;ALS2CL;TBC1D14;DENND3;TRAPPC9;TBC1D10A;TBC1D16,,R-HSA-8854759;R-HSA-8876454;R-HSA-8854293;R-HSA-8877475;R-HSA-8854209;R-HSA-8876446;R-HSA-8854222;R-HSA-8854173;R-HSA-8854604;R-HSA-8875320
R-HSA-416482,G alpha (12/13) signalling events,5,86,0.005600052,0.208646023,0.518614855,6,15,0.001035769,9606,Homo sapiens,PREX1;GNGT2;KALRN;FGD2;RHOB,,R-HSA-751019;R-HSA-751039;R-HSA-419166;R-HSA-751027;R-HSA-751029;R-HSA-419049
R-HSA-114604,GPVI-mediated activation cascade,3,43,0.002800026,0.208972856,0.518614855,8,25,0.001726281,9606,Homo sapiens,FYN;PRKCZ;RHOB,,R-HSA-139842;R-HSA-442291;R-HSA-453200;R-HSA-437118;R-HSA-453183;R-HSA-114600;R-HSA-437195;R-HSA-437192
R-HSA-111933,Calmodulin induced events,3,43,0.002800026,0.208972856,0.518614855,6,23,0.001588178,9606,Homo sapiens,CAMK2B;PRKAR1A;CAMK2G,,R-HSA-9618834;R-HSA-442725;R-HSA-111925;R-HSA-8951727;R-HSA-9617583;R-HSA-444792
R-HSA-111997,CaM pathway,3,43,0.002800026,0.208972856,0.518614855,6,24,0.00165723,9606,Homo sapiens,CAMK2B;PRKAR1A;CAMK2G,,R-HSA-9618834;R-HSA-442725;R-HSA-111925;R-HSA-8951727;R-HSA-9617583;R-HSA-444792
R-HSA-6804757,Regulation of TP53 Degradation,3,43,0.002800026,0.208972856,0.518614855,7,30,0.002071537,9606,Homo sapiens,UBC,,R-HSA-5689972;R-HSA-6804724;R-HSA-6804879;R-HSA-6804942;R-HSA-3215295;R-HSA-6804441;R-HSA-3215310
R-HSA-9682385,FLT3 signaling in disease,3,43,0.002800026,0.208972856,0.518614855,12,52,0.003590664,9606,Homo sapiens,TIAF1;UBC,,R-HSA-9706356;R-HSA-9703430;R-HSA-9703440;R-HSA-9703441;R-HSA-9703442;R-HSA-9703437;R-HSA-9703438;R-HSA-9703439;R-HSA-9703432;R-HSA-9703433;R-HSA-9703434;R-HSA-9703435
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,22,498,0.032428209,0.210943984,0.518614855,125,478,0.033006491,9606,Homo sapiens,CAMK2B;SMAD2;FZD4;HDAC11;ITGA2B;KSR2;RBPJ;FRS3;NCOR2;SPRED2;RNF213;PRKAR1A;TIAF1;UBC;FGF18;FYN;CAMK2G;FGFR3,,R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-9656212;R-HSA-2730752;R-HSA-3315483;R-HSA-4396393;R-HSA-4396392;R-HSA-2400009;R-HSA-9724090;R-HSA-2900765;R-HSA-4396402;R-HSA-4396401;R-HSA-9712087;R-HSA-5655315;R-HSA-9712081;R-HSA-2769007;R-HSA-6803234;R-HSA-6803233;R-HSA-5655323;R-HSA-5655320;R-HSA-2033486;R-HSA-2033485;R-HSA-5655301;R-HSA-2033476;R-HSA-2033472;R-HSA-2737728;R-HSA-2038387;R-HSA-2038386;R-HSA-5655343;R-HSA-6803230;R-HSA-3656523;R-HSA-6803227;R-HSA-5655339;R-HSA-6802919;R-HSA-6802918;R-HSA-9670418;R-HSA-9670417;R-HSA-6802916;R-HSA-9670416;R-HSA-9703440;R-HSA-9703441;R-HSA-6802914;R-HSA-2220964;R-HSA-9703442;R-HSA-6802912;R-HSA-2220966;R-HSA-5655262;R-HSA-6802927;R-HSA-6802926;R-HSA-9670426;R-HSA-5654748;R-HSA-6802925;R-HSA-2220971;R-HSA-6802924;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-2220976;R-HSA-6802934;R-HSA-9703430;R-HSA-6802933;R-HSA-2220979;R-HSA-6802932;R-HSA-3311014;R-HSA-2220981;R-HSA-2220982;R-HSA-5655233;R-HSA-6802943;R-HSA-2220985;R-HSA-5655247;R-HSA-9703437;R-HSA-6802942;R-HSA-5655244;R-HSA-6802941;R-HSA-9703438;R-HSA-5655245;R-HSA-9703439;R-HSA-9703432;R-HSA-5655243;R-HSA-9703433;R-HSA-9670414;R-HSA-9703434;R-HSA-9670413;R-HSA-5655241;R-HSA-9703435;R-HSA-9670412;R-HSA-5655285;R-HSA-1839039;R-HSA-5655295;R-HSA-2012084;R-HSA-1839031;R-HSA-2012082;R-HSA-5655289;R-HSA-5655270;R-HSA-2220944;R-HSA-5655268;R-HSA-2012074;R-HSA-5483238;R-HSA-2012073;R-HSA-9700131;R-HSA-6802911;R-HSA-6802910;R-HSA-8853309;R-HSA-5655277;R-HSA-2220957;R-HSA-9700181;R-HSA-8853317;R-HSA-1839065;R-HSA-9700179;R-HSA-5387392;R-HSA-9706356;R-HSA-1839100;R-HSA-1839098;R-HSA-1839094;R-HSA-2077424;R-HSA-1839091;R-HSA-6802837;R-HSA-2077420;R-HSA-1839080;R-HSA-1225956;R-HSA-3304394;R-HSA-5340587;R-HSA-1839078
R-HSA-8957275,Post-translational protein phosphorylation,6,109,0.00709774,0.211470808,0.518614855,1,1,6.91E-05,9606,Homo sapiens,WFS1;FUCA2;HRC;ANO8;NOTUM;PDIA6,,R-HSA-8952289
R-HSA-975871,MyD88 cascade initiated on plasma membrane,6,109,0.00709774,0.211470808,0.518614855,22,70,0.004833587,9606,Homo sapiens,MEF2A;BCAM;TNIP2;UBC;FOS,,R-HSA-936942;R-HSA-168166;R-HSA-5684275;R-HSA-5684273;R-HSA-450337;R-HSA-9750942;R-HSA-5684250;R-HSA-450346;R-HSA-936960;R-HSA-5684248;R-HSA-936991;R-HSA-450292;R-HSA-450325;R-HSA-5684261;R-HSA-936986;R-HSA-937050;R-HSA-451634;R-HSA-9750946;R-HSA-9758604;R-HSA-168184;R-HSA-199929;R-HSA-5684267
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,6,109,0.00709774,0.211470808,0.518614855,22,71,0.004902638,9606,Homo sapiens,MEF2A;BCAM;TNIP2;UBC;FOS,,R-HSA-936942;R-HSA-168166;R-HSA-5684275;R-HSA-5684273;R-HSA-450337;R-HSA-9750942;R-HSA-5684250;R-HSA-450346;R-HSA-936960;R-HSA-5684248;R-HSA-936991;R-HSA-450292;R-HSA-450325;R-HSA-5684261;R-HSA-936986;R-HSA-937050;R-HSA-451634;R-HSA-9750946;R-HSA-9758604;R-HSA-168184;R-HSA-199929;R-HSA-5684267
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,6,109,0.00709774,0.211470808,0.518614855,22,71,0.004902638,9606,Homo sapiens,MEF2A;BCAM;TNIP2;UBC;FOS,,R-HSA-936942;R-HSA-168166;R-HSA-5684275;R-HSA-5684273;R-HSA-450337;R-HSA-9750942;R-HSA-5684250;R-HSA-450346;R-HSA-936960;R-HSA-5684248;R-HSA-936991;R-HSA-450292;R-HSA-450325;R-HSA-5684261;R-HSA-936986;R-HSA-937050;R-HSA-451634;R-HSA-9750946;R-HSA-9758604;R-HSA-168184;R-HSA-199929;R-HSA-5684267
R-HSA-193704,p75 NTR receptor-mediated signalling,6,110,0.007162857,0.21719053,0.518614855,10,50,0.003452562,9606,Homo sapiens,PREX1;LINGO1;UBC;KALRN;FGD2,,R-HSA-9012761;R-HSA-204947;R-HSA-193696;R-HSA-209536;R-HSA-205008;R-HSA-193655;R-HSA-209573;R-HSA-205039;R-HSA-209566;R-HSA-205118
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,3,44,0.002865143,0.218395274,0.518614855,4,6,4.14E-04,9606,Homo sapiens,ITGA2B;KSR2,,R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,3,44,0.002865143,0.218395274,0.518614855,4,14,9.67E-04,9606,Homo sapiens,TLE3;UBC,,R-HSA-3322434;R-HSA-3361751;R-HSA-3322431;R-HSA-3322429
R-HSA-9694548,Maturation of spike protein,3,44,0.002865143,0.218395274,0.518614855,2,12,8.29E-04,9606,Homo sapiens,TUSC3;ST3GAL4;ST6GALNAC4,,R-HSA-9697018;R-HSA-9694793
R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,2,24,0.001562805,0.218980911,0.518614855,2,3,2.07E-04,9606,Homo sapiens,UBC,,R-HSA-174227;R-HSA-174157
R-HSA-912631,Regulation of signaling by CBL,2,24,0.001562805,0.218980911,0.518614855,3,7,4.83E-04,9606,Homo sapiens,UBC;FYN,,R-HSA-879917;R-HSA-912629;R-HSA-912627
R-HSA-937041,IKK complex recruitment mediated by RIP1,2,24,0.001562805,0.218980911,0.518614855,1,3,2.07E-04,9606,Homo sapiens,UBC,,R-HSA-168915
R-HSA-3322077,Glycogen synthesis,2,24,0.001562805,0.218980911,0.518614855,2,22,0.001519127,9606,Homo sapiens,UBC,,R-HSA-3781009;R-HSA-3780995
R-HSA-6806834,Signaling by MET,5,88,0.005730286,0.221604056,0.518614855,10,51,0.003521613,9606,Homo sapiens,LAMA5;GGA3;UBC;PTK2,,R-HSA-8875431;R-HSA-8874083;R-HSA-8875443;R-HSA-8874082;R-HSA-8874080;R-HSA-8874079;R-HSA-8875183;R-HSA-8874078;R-HSA-8875661;R-HSA-8875659
R-HSA-9009391,Extra-nuclear estrogen signaling,6,111,0.007227974,0.222962276,0.518614855,15,39,0.002692998,9606,Homo sapiens,GNGT2;SPHK1;FOS;PRKCZ;PTK2,,R-HSA-9625814;R-HSA-9632918;R-HSA-9021601;R-HSA-9632858;R-HSA-9021600;R-HSA-9625465;R-HSA-437195;R-HSA-9632412;R-HSA-437192;R-HSA-9021596;R-HSA-9625479;R-HSA-9625482;R-HSA-9632906;R-HSA-9632910;R-HSA-9625487
R-HSA-9032759,NTRK2 activates RAC1,1,7,4.56E-04,0.225681742,0.518614855,2,2,1.38E-04,9606,Homo sapiens,FYN,,R-HSA-9032761;R-HSA-9032798
R-HSA-9673221,Defective F9 activation,1,7,4.56E-04,0.225681742,0.518614855,1,1,6.91E-05,9606,Homo sapiens,TSKU,,R-HSA-9673223
R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer,1,7,4.56E-04,0.225681742,0.518614855,1,1,6.91E-05,9606,Homo sapiens,SMAD2,,R-HSA-3304394
R-HSA-426496,Post-transcriptional silencing by small RNAs,1,7,4.56E-04,0.225681742,0.518614855,2,3,2.07E-04,9606,Homo sapiens,AGO2,,R-HSA-426520;R-HSA-426489
R-HSA-5624138,Trafficking of myristoylated proteins to the cilium,1,7,4.56E-04,0.225681742,0.518614855,4,8,5.52E-04,9606,Homo sapiens,CYS1,,R-HSA-5624133;R-HSA-5624132;R-HSA-5624131;R-HSA-5624130
R-HSA-3656534,Loss of Function of TGFBR1 in Cancer,1,7,4.56E-04,0.225681742,0.518614855,1,2,1.38E-04,9606,Homo sapiens,SMAD2,,R-HSA-3656523
R-HSA-8866376,Reelin signalling pathway,1,7,4.56E-04,0.225681742,0.518614855,1,4,2.76E-04,9606,Homo sapiens,FYN,,R-HSA-8855237
R-HSA-8941284,RUNX2 regulates chondrocyte maturation,1,7,4.56E-04,0.225681742,0.518614855,1,4,2.76E-04,9606,Homo sapiens,GLI2,,R-HSA-8986294
R-HSA-1566948,Elastic fibre formation,3,45,0.00293026,0.227903049,0.518614855,12,17,0.001173871,9606,Homo sapiens,FBN3;LTBP4,,R-HSA-2395364;R-HSA-2161282;R-HSA-2328033;R-HSA-2129362;R-HSA-2328048;R-HSA-2537665;R-HSA-2129353;R-HSA-2129385;R-HSA-2396399;R-HSA-1592387;R-HSA-2129357;R-HSA-2129375
R-HSA-9663891,Selective autophagy,5,89,0.005795403,0.228173189,0.518614855,18,48,0.003314459,9606,Homo sapiens,HSF1;UBC;PRKAB1;PRICKLE4,,R-HSA-9646354;R-HSA-9646679;R-HSA-9641111;R-HSA-9646390;R-HSA-9641109;R-HSA-9613530;R-HSA-9664888;R-HSA-9646685;R-HSA-5205661;R-HSA-9641089;R-HSA-9640480;R-HSA-9641127;R-HSA-9646347;R-HSA-9641096;R-HSA-9646383;R-HSA-9674127;R-HSA-5205682;R-HSA-9646348
R-HSA-2408557,Selenocysteine synthesis,6,112,0.007293091,0.228784119,0.518614855,2,7,4.83E-04,9606,Homo sapiens,NAB1;UBC;RPL8;RPS21,,R-HSA-2408529;R-HSA-5333615
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,9,183,0.01191639,0.229892974,0.518614855,9,20,0.001381025,9606,Homo sapiens,LDB1;NAB1;UBC;MSI1;RPL8;RPS21,,R-HSA-9010539;R-HSA-9010541;R-HSA-9014652;R-HSA-9011313;R-HSA-8986083;R-HSA-9011347;R-HSA-9014610;R-HSA-9011346;R-HSA-9011300
